"OTU","kingdom","phylum","class","order","family","genus","species"
"New.CleanUp.ReferenceOTU539653","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU540792","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"New.CleanUp.ReferenceOTU541228","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU541445","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU541887","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU542009","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","",""
"New.CleanUp.ReferenceOTU542450","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"New.CleanUp.ReferenceOTU542489","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU542491","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU542811","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"New.CleanUp.ReferenceOTU543102","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU543108","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","",""
"New.CleanUp.ReferenceOTU543165","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"New.CleanUp.ReferenceOTU543386","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"New.CleanUp.ReferenceOTU544541","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","",""
"New.CleanUp.ReferenceOTU544751","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia",""
"New.CleanUp.ReferenceOTU544765","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","",""
"New.CleanUp.ReferenceOTU545002","Bacteria","TM7","TM7-1","","","",""
"New.CleanUp.ReferenceOTU545080","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU545352","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","","",""
"New.CleanUp.ReferenceOTU545490","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"New.CleanUp.ReferenceOTU545664","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU545893","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU546283","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","","",""
"New.CleanUp.ReferenceOTU546312","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"New.CleanUp.ReferenceOTU547218","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU547959","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"New.CleanUp.ReferenceOTU548742","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",""
"New.CleanUp.ReferenceOTU549130","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"New.CleanUp.ReferenceOTU549216","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU549281","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU549310","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"New.CleanUp.ReferenceOTU549663","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"New.CleanUp.ReferenceOTU549716","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"New.CleanUp.ReferenceOTU549764","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU549969","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU549986","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU550837","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"New.CleanUp.ReferenceOTU550882","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","",""
"New.CleanUp.ReferenceOTU550935","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","",""
"New.CleanUp.ReferenceOTU551211","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"New.CleanUp.ReferenceOTU551477","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","",""
"New.CleanUp.ReferenceOTU551527","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"New.CleanUp.ReferenceOTU551594","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","",""
"New.CleanUp.ReferenceOTU552062","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","","",""
"New.CleanUp.ReferenceOTU552420","Bacteria","Acidobacteria","iii1-8","DS-18","","",""
